context_count,audit_size,channel_interval_half_width,channel_heterogeneity,score_gradient_noncollinearity_angle,false_certified_sign_rate,harmful_sample_update_rate,clean_gradient_cosine,certified_mass,cosine_gain_over_best_nonoracle,cosine_gain_over_H001,harmful_rate_reduction_over_best_nonoracle,harmful_rate_reduction_over_H001,point_limit_direction_difference,valid_coverage
2,256,0.2,0.3,45,0.0,0.0,0.9990925885615178,0.3333333333333333,-0.0008234617652590704,0.00012491570959662912,0.0,0.0,0.03402159891500426,True
2,256,0.2,0.3,90,0.0,0.0,0.9951194823342588,0.3333333333333333,-0.0047916791133860714,-0.004138318183288381,0.0,0.0,0.08528671113714015,True
4,64,0.02,0.0,0,0.0,0.0,0.9999989821248201,0.6666666666666666,-1.017875179787353e-06,-7.235371180858152e-07,0.0,0.016666666666666666,0.0023813099245678297,True
4,64,0.02,0.0,45,0.0,0.0,0.9999973846847918,0.6666666666666666,-2.6153152081098698e-06,6.820678165597727e-07,0.0,0.0,0.0013556549814366322,True
4,64,0.02,0.0,90,0.0,0.0,0.9999926408679114,0.6666666666666666,-7.3591320885135755e-06,-2.6741018663622994e-06,0.0,0.0,0.0029436441192361956,True
4,64,0.02,0.15,0,0.0,0.0,0.9999983509082897,0.6666666666666666,-1.1196550058212296e-06,1.2495532069500825e-06,0.0,0.0,0.0032186116381301456,True
4,64,0.02,0.15,45,0.0,0.0,0.9999973928691602,0.6666666666666666,-8.487378626353959e-07,-4.4971294426154885e-07,0.0,0.06666666666666667,0.001025851603401011,True
4,64,0.02,0.15,90,0.0,0.0,0.9999977192979603,0.6833333333333333,-1.244714667625324e-06,1.0656443654610825e-06,0.0,0.05,0.0028305114250527594,True
4,64,0.02,0.3,0,0.0,0.0,0.9999950352730634,0.6833333333333332,-4.7131607201489345e-06,-4.486562650218851e-06,0.0,0.016666666666666666,0.006006416858718696,True
4,64,0.02,0.3,45,0.0,0.0,0.9999993753010831,0.6833333333333332,7.752917236647506e-07,3.6154339961180783e-06,0.0,0.0,0.004291560464405807,True
4,64,0.02,0.3,90,0.0,0.0,0.9999761036017585,0.6666666666666666,-1.0439588446220505e-05,-7.3440432895033325e-06,0.0,0.0,0.0050490614756550905,True
4,64,0.05,0.0,0,0.0,0.0,0.9999976157551673,0.6666666666666666,-2.3842448326760746e-06,-1.7489000060155745e-06,0.0,0.03333333333333333,0.0041584148493591325,True
4,64,0.05,0.0,45,0.0,0.0,0.9999369243317847,0.6666666666666666,-6.307566821515121e-05,-4.1128700787984585e-05,0.0,0.05,0.008945190926518224,True
4,64,0.05,0.0,90,0.0,0.0,0.9996515307801971,0.6666666666666666,-0.000348469219802916,-0.00023305009636134243,0.0,0.016666666666666666,0.020072946376794215,True
4,64,0.05,0.15,0,0.0,0.0,0.9999697239664368,0.6666666666666666,-2.752425709104944e-05,-2.2650269518198485e-05,0.0,0.1,0.010528921851820545,True
4,64,0.05,0.15,45,0.0,0.0,0.9999191217398341,0.6666666666666666,-6.0981705618146084e-05,-5.8329682085589416e-05,0.0,0.05,0.015184802382387943,True
4,64,0.05,0.15,90,0.0,0.0,0.999960537447774,0.6666666666666666,-2.62351854466214e-05,-2.0636817030239563e-05,0.0,0.03333333333333333,0.010084832583785343,True
